1 Ave	Bronx	Avenue
1 Ave	Brooklyn	Avenue
1 Ave	Manhattan	Avenue
1 Ct	Brooklyn	Place
1 Pl	Brooklyn	Place
1 Pl	Manhattan	Place
1 St	Brooklyn	Street
1 St	Manhattan	Street
1 St	Queens	Street
1 St	Staten Island	Street
10 Ave	Brooklyn	Avenue
10 Ave	Manhattan	Avenue
10 Ave	Queens	Avenue
10 St	Brooklyn	Street
10 St	Manhattan	Street
10 St	Queens	Street
10 St	Staten Island	Street
100 Ave	Queens	Avenue
100 Dr	Queens	Place
100 Rd	Queens	Place
100 St	Brooklyn	Street
100 St	Manhattan	Street
100 St	Queens	Street
101 Ave	Brooklyn	Avenue
101 Ave	Queens	Avenue
101 Rd	Queens	Place
101 St	Brooklyn	Street
101 St	Manhattan	Street
101 St	Queens	Street
102 Ave	Queens	Avenue
102 Rd	Queens	Place
102 St	Brooklyn	Street
